hora,distrito,direccion,latitude,longitude,avg_count
7:00:00 PM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,243.03
8:00:00 PM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,198.16
9:00:00 PM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,143.74
10:00:00 PM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,88.90
11:00:00 PM,,"Calle de Doña Urraca 24, 28011 Madrid",40.412.929,-3.726.496,54.84
12:00:00 AM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,630.99
1:00:00 AM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,378.18
2:00:00 AM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,289.98
3:00:00 AM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,212.24
4:00:00 AM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,192.65
5:00:00 AM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,253.88
6:00:00 AM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,353.02
7:00:00 AM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,579.88
8:00:00 AM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,875.33
9:00:00 AM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"1,107.25"
10:00:00 AM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"1,433.75"
11:00:00 AM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"1,848.19"
12:00:00 PM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"2,488.71"
1:00:00 PM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"1,563.41"
2:00:00 PM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"2,289.06"
3:00:00 PM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"2,855.76"
4:00:00 PM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"3,386.56"
5:00:00 PM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"4,018.32"
6:00:00 PM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"3,840.15"
7:00:00 PM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"4,020.79"
8:00:00 PM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"3,333.14"
9:00:00 PM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"2,158.73"
10:00:00 PM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,"1,342.55"
11:00:00 PM,Centro,"Calle Fuencarral 22, 28004 Madrid",40.422.009,-3.700.892,962.06
12:00:00 AM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,118.46
1:00:00 AM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,83.81
2:00:00 AM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,77.66
3:00:00 AM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,79.97
4:00:00 AM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,116.00
5:00:00 AM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,270.35
6:00:00 AM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,448.05
7:00:00 AM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,391.19
8:00:00 AM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,383.42
9:00:00 AM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,443.63
10:00:00 AM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,499.08
11:00:00 AM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,552.50
12:00:00 PM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,700.81
1:00:00 PM,Centro,"Calle Génova 12, 28004 Madrid",40.426.953,-3.694.488,552.11
