euct_name,euct_lat,euct_lon,gp_rating,gp_reviewCount,gp_website,gp_openingHours,gp_source_id,gp_google_maps_url
The Miners Coffee Plaza de España,40.4256779,-3.7136068,4.6,173,https://www.theminers.eu/the-miners-plaza-de-espana/,Monday: 8:30 AM – 8:00 PM; Tuesday: 8:30 AM – 8:00 PM; Wednesday: 8:30 AM – 8:00 PM; Thursday: 8:30 AM – 8:00 PM; Friday: 8:30 AM – 8:00 PM; Saturday: 9:00 AM – 9:00 PM; Sunday: 9:00 AM – 8:00 PM,ChIJF8r5C7wpQg0RryCBtQFcEII,https://www.google.com/maps/place/?q=place_id:ChIJF8r5C7wpQg0RryCBtQFcEII
Cafeteando,40.4331127,-3.7005457,4.7,439,http://instagram.com/cafeteando.es,"Monday: 9:00 AM – 1:00 PM, 3:00 – 7:00 PM; Tuesday: 9:00 AM – 1:00 PM, 3:00 – 7:00 PM; Wednesday: 9:00 AM – 1:00 PM, 3:00 – 7:00 PM; Thursday: 9:00 AM – 1:00 PM, 3:00 – 7:00 PM; Friday: 9:00 AM – 1:00 PM, 3:00 – 7:00 PM; Saturday: 10:00 AM – 2:00 PM, 3:00 – 7:00 PM; Sunday: 10:00 AM – 2:00 PM, 3:00 – 7:00 PM",ChIJw2BF1IooQg0R9lZsmxuF7SY,https://www.google.com/maps/place/?q=place_id:ChIJw2BF1IooQg0R9lZsmxuF7SY
Toma Café,40.4264935,-3.7058978,4.4,3440,http://tomacafe.es/,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,ChIJ30LStmMoQg0R3jE_4mNQ22E,https://www.google.com/maps/place/?q=place_id:ChIJ30LStmMoQg0R3jE_4mNQ22E
Cafetería 1000 Cups Specialty Coffee,40.4657909,-3.7000857,4,1616,http://www.1000cupscafe.com/,Monday: 8:00 AM – 3:00 PM; Tuesday: Closed; Wednesday: 8:00 AM – 4:00 PM; Thursday: 8:00 AM – 4:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: 8:30 AM – 4:00 PM; Sunday: 8:30 AM – 4:00 PM,ChIJ5-GF3F8oQg0RBHJepqaPpOk,https://www.google.com/maps/place/?q=place_id:ChIJ5-GF3F8oQg0RBHJepqaPpOk
Monkee,40.4403973,-3.7079523,4.2,2037,https://www.monkee.es/,Monday: 8:30 AM – 7:30 PM; Tuesday: 8:30 AM – 7:30 PM; Wednesday: 8:30 AM – 7:30 PM; Thursday: 8:30 AM – 7:30 PM; Friday: 8:30 AM – 7:30 PM; Saturday: 9:00 AM – 7:30 PM; Sunday: 9:00 AM – 7:30 PM,ChIJRaz21lsoQg0RB8plk24YRFs,https://www.google.com/maps/place/?q=place_id:ChIJRaz21lsoQg0RB8plk24YRFs
Toma Café Olavide,40.4331089,-3.7000696,4.1,1832,http://www.tomacafe.es/,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,ChIJSdnqK4soQg0R8eKySYY5XY8,https://www.google.com/maps/place/?q=place_id:ChIJSdnqK4soQg0R8eKySYY5XY8
Aroma and Bread,40.4273167,-3.7004763,5,54,,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 9:00 AM – 8:00 PM,ChIJfSqv-0YpQg0RcYWYF5LhT38,https://www.google.com/maps/place/?q=place_id:ChIJfSqv-0YpQg0RcYWYF5LhT38
Café Guayacán,40.4350995,-3.7071314,4.9,246,https://www.cafesguayacan.com/,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,ChIJrcbcZV4oQg0RqwkJCSnzSs8,https://www.google.com/maps/place/?q=place_id:ChIJrcbcZV4oQg0RqwkJCSnzSs8
Norah Coffee & Brunch - Speciality Coffee,40.42543,-3.678831,4.8,6560,http://www.norahbrunch.es/?utm_source=GMB&utm_medium=gmb&utm_campaign=gmb&utm_id=web,Monday: 9:30 AM – 6:30 PM; Tuesday: 9:30 AM – 6:30 PM; Wednesday: 9:30 AM – 6:00 PM; Thursday: 9:30 AM – 6:30 PM; Friday: 10:00 AM – 7:00 PM; Saturday: 9:30 AM – 7:00 PM; Sunday: 9:30 AM – 7:00 PM,ChIJ2fh7Y8EpQg0RjjokkdLmxA0,https://www.google.com/maps/place/?q=place_id:ChIJ2fh7Y8EpQg0RjjokkdLmxA0
Licensed Coffee,40.4431576,-3.6695695,5,217,https://www.licensed.coffee/,Monday: 8:00 AM – 5:30 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:30 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:30 PM; Saturday: 8:00 AM – 5:30 PM; Sunday: Closed,ChIJ6QeA_xkpQg0R-eeSfcyGifY,https://www.google.com/maps/place/?q=place_id:ChIJ6QeA_xkpQg0R-eeSfcyGifY
KLARE SPECIALTY COFFEE & BRUNCH,40.4316658,-3.6955869,4.8,396,https://www.instagram.com/klare_madrid/profilecard/?igsh=cDQyZnJ5MW83YXFl,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: 10:00 AM – 5:00 PM; Sunday: 10:00 AM – 3:00 PM,ChIJd1QNRPUpQg0RxQ3lbhgt9qY,https://www.google.com/maps/place/?q=place_id:ChIJd1QNRPUpQg0RxQ3lbhgt9qY
Hey My Coffee - Goya,40.427983,-3.676887,4.8,437,http://heymycoffee.com/,Monday: 7:30 AM – 8:00 PM; Tuesday: 7:30 AM – 8:00 PM; Wednesday: 7:30 AM – 8:00 PM; Thursday: 7:30 AM – 8:00 PM; Friday: 7:30 AM – 8:00 PM; Saturday: 9:00 AM – 6:30 PM; Sunday: 9:00 AM – 5:30 PM,ChIJgXQSWukpQg0RKVv4Ijg1GGs,https://www.google.com/maps/place/?q=place_id:ChIJgXQSWukpQg0RKVv4Ijg1GGs
Nica Specialty Coffee,40.4475867,-3.6722529,4.9,250,https://nicacafe.shop/,Monday: 8:00 AM – 4:00 PM; Tuesday: 8:00 AM – 4:00 PM; Wednesday: 8:00 AM – 4:00 PM; Thursday: 8:00 AM – 4:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,ChIJEbsF4TopQg0R8u7X7onkmpA,https://www.google.com/maps/place/?q=place_id:ChIJEbsF4TopQg0R8u7X7onkmpA
Pink Bourbon,40.43492,-3.6797001,5,352,http://www.pinkbourbon.coffee/,Monday: 7:45 AM – 7:30 PM; Tuesday: 7:45 AM – 7:30 PM; Wednesday: 7:45 AM – 7:30 PM; Thursday: 7:45 AM – 7:30 PM; Friday: 7:45 AM – 7:30 PM; Saturday: 9:00 AM – 6:00 PM; Sunday: 9:00 AM – 6:00 PM,ChIJ7RVDfd0pQg0R3mtrvmyyK-w,https://www.google.com/maps/place/?q=place_id:ChIJ7RVDfd0pQg0R3mtrvmyyK-w
FECA Specialty Coffee & Brunch,40.435215,-3.6714547,4.8,707,,Monday: 8:30 AM – 2:00 PM; Tuesday: 8:30 AM – 6:00 PM; Wednesday: 8:30 AM – 6:00 PM; Thursday: 8:30 AM – 6:00 PM; Friday: 8:30 AM – 6:00 PM; Saturday: 9:30 AM – 3:00 PM; Sunday: 9:30 AM – 3:00 PM,ChIJjZOovUgpQg0RyOJ_RNLEm1E,https://www.google.com/maps/place/?q=place_id:ChIJjZOovUgpQg0RyOJ_RNLEm1E
Natif Coffee & Kitchen Specialty Coffee,40.4261424,-3.6964425,4.4,1326,https://www.natif.es/,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 8:00 AM – 8:00 PM; Sunday: 8:00 AM – 8:00 PM,ChIJdRwbh_spQg0R2ZSh-U84uAM,https://www.google.com/maps/place/?q=place_id:ChIJdRwbh_spQg0R2ZSh-U84uAM
MINA SPECIALTY COFFEE,40.4396396,-3.6791679,4.5,571,,Monday: 8:00 AM – 8:00 PM; Tuesday: 8:00 AM – 8:00 PM; Wednesday: 8:00 AM – 8:00 PM; Thursday: 8:00 AM – 8:00 PM; Friday: 8:00 AM – 8:00 PM; Saturday: 9:00 AM – 5:30 PM; Sunday: 9:00 AM – 5:30 PM,ChIJndwDJAApQg0RtQ2osa8dCi0,https://www.google.com/maps/place/?q=place_id:ChIJndwDJAApQg0RtQ2osa8dCi0
Lady Madrid Roaster y Speciality Coffee,40.4589955,-3.6772919,4.8,248,http://www.ladymadridcafe.es/,Monday: 7:30 AM – 9:00 PM; Tuesday: 7:30 AM – 9:00 PM; Wednesday: 7:30 AM – 9:00 PM; Thursday: 7:30 AM – 9:00 PM; Friday: 7:30 AM – 9:00 PM; Saturday: 7:30 AM – 9:00 PM; Sunday: 7:30 AM – 9:00 PM,ChIJx5LDGgApQg0RKIDsLw8swwQ,https://www.google.com/maps/place/?q=place_id:ChIJx5LDGgApQg0RKIDsLw8swwQ
