Category,Name,Lat,Lon,Address,MapsURL,Status
Train Station,Praha-Bubny,50.1006974,14.4398251,,"https://www.google.com/maps/search/50.1006974,14.4398251",
University,Děkanát 1. LF UK,50.0737043,14.4277911,"Na Bojišti, 1660/3","https://www.google.com/maps/search/50.0737043,14.4277911",
University,"Fakulta sociálních věd Univerzity Karlovy, Hollar",50.0843149,14.413613,,"https://www.google.com/maps/search/50.0843149,14.413613",
Shopping Center,Galerie Butovice,50.048205,14.3544912,"Radlická, 117","https://www.google.com/maps/search/50.048205,14.3544912",
University,"Přírodovědecká fakulta UK, Sekce Biologie",50.0722592,14.4241794,"Viničná, 1594/7","https://www.google.com/maps/search/50.0722592,14.4241794",
Train Station,Praha-Michle autovlak,50.0530398,14.4701147,,"https://www.google.com/maps/search/50.0530398,14.4701147",
University,VŠE - Vysoká škola ekonomická,50.0842298,14.4411781,,"https://www.google.com/maps/search/50.0842298,14.4411781",
Train Station,Praha-Waltrovka,50.0551732,14.3769448,,"https://www.google.com/maps/search/50.0551732,14.3769448",
Shopping Center,Metropole Zličín,50.0534565,14.2868613,,"https://www.google.com/maps/search/50.0534565,14.2868613",
Shopping Center,Obchodní centrum Šárka,50.0973645,14.359391,"Evropská, 695/73","https://www.google.com/maps/search/50.0973645,14.359391",
University,Faculty of Mathematics and Physics of the Charles University,50.0883397,14.4032151,,"https://www.google.com/maps/search/50.0883397,14.4032151",
Student Dormitory,Masaryk Dormitory,50.1009987,14.3864909,"Thákurova, 1, Praha","https://www.google.com/maps/search/50.1009987,14.3864909",
Student Dormitory,Palachova B,50.0920699,14.484926,,"https://www.google.com/maps/search/50.0920699,14.484926",
Student Dormitory,Palachova C,50.0920467,14.4843438,,"https://www.google.com/maps/search/50.0920467,14.4843438",
Student Dormitory,Palachova A,50.092077,14.4855165,,"https://www.google.com/maps/search/50.092077,14.4855165",
University,Matematicko-fyzikální fakulta Univerzity Karlovy,50.1158014,14.4497953,,"https://www.google.com/maps/search/50.1158014,14.4497953",
Student Dormitory,B,50.1167569,14.4423842,"Pátkova, 2136/3","https://www.google.com/maps/search/50.1167569,14.4423842",
University,"Fakulta humanitních studií, Univerzita Karlova",50.1161678,14.4422334,"Pátkova, 2137/5, Praha","https://www.google.com/maps/search/50.1161678,14.4422334",
Student Dormitory,A,50.1161972,14.4430229,"Pátkova, 2135/1","https://www.google.com/maps/search/50.1161972,14.4430229",
Shopping Center,Obchodní dům Chrpa,50.0327028,14.4823662,,"https://www.google.com/maps/search/50.0327028,14.4823662",
Shopping Center,Část obchodního centra Avion,50.0493176,14.2959273,,"https://www.google.com/maps/search/50.0493176,14.2959273",
Shopping Center,Obchodní centrum Europark,50.0724602,14.542167,,"https://www.google.com/maps/search/50.0724602,14.542167",
Student Dormitory,University Hotel,50.0919868,14.483159,,"https://www.google.com/maps/search/50.0919868,14.483159",
Student Dormitory,Palachova D,50.0919772,14.4837611,,"https://www.google.com/maps/search/50.0919772,14.4837611",
Student Dormitory,Koleje Větrník,50.0877582,14.3557088,,"https://www.google.com/maps/search/50.0877582,14.3557088",
University,Rektorát,50.1300027,14.3735569,,"https://www.google.com/maps/search/50.1300027,14.3735569",
University,Faculty of Forestry and Wood Sciences,50.1300147,14.3698769,"Kamýcká, 1176","https://www.google.com/maps/search/50.1300147,14.3698769",
University,Czech University of Life Sciences Prague,50.1298879,14.3740412,,"https://www.google.com/maps/search/50.1298879,14.3740412",
University,FFWS - Carpenter Workshops,50.1306679,14.3693431,"Kamýcká, 1322","https://www.google.com/maps/search/50.1306679,14.3693431",
